umur,jenis_kelamin,pekerjaan,provinsi,gaji,is_menikah,is_keturunan,berat,tinggi,sampo,is_merokok,pendidikan,stress,botak_prob
27.0,Perempuan,PNS,Bengkulu,7957452.7574173035,1.0,0,54.31505252840597,170.42854234879385,Pantone,1.0,S1,5.0,0.6059738951921481
53.0,Perempuan,PNS,Bandung,7633002.755486635,1.0,0,72.8734035599853,165.53009655972747,Pantone,0.0,S1,7.0,0.5328597660156339
37.0,Perempuan,Pegawai swasta,Bandung,6637624.864428122,1.0,0,46.321532719560274,154.5993882991208,Moonsilk,0.0,S1,4.0,0.4184419518130695
36.0,Perempuan,Pengangguran,Palu,3624871.391361162,1.0,0,51.539780792069315,167.34048078061105,Deadbuoy,1.0,SD,9.0,0.804050214750373
38.0,Laki-laki,Freelance,Palangkaraya,6031807.52048343,1.0,0,60.726909008236994,165.51477316835093,Merpati,1.0,S2,1.0,0.36837149435279853
55.0,Perempuan,PNS,Palangkaraya,9213032.163715528,1.0,1,54.287045393390976,179.23514458380086,Pantone,0.0,S1,1.0,0.7325619928121658
40.0,Perempuan,Freelance,Serang,10682559.29969885,1.0,0,54.82488110805333,177.43112213650318,Shoulder & Head,0.0,S1,2.0,0.19260444263028492
47.0,Laki-laki,Pegawai swasta,Banda Aceh,4508320.963980014,1.0,0,74.79515223454992,170.54093819801352,Shoulder & Head,1.0,S2,3.0,0.5405823655503162
41.0,Laki-laki,Freelance,Palu,9846425.542336129,1.0,0,55.049547261650176,157.19207792059044,Pantone,0.0,SMA,6.0,0.3679600894292867
46.0,Perempuan,Freelance,Palembang,9257426.3210561,1.0,0,52.764656334773576,174.39717040492255,Shoulder & Head,0.0,S1,4.0,0.40365348152659636
34.0,Laki-laki,PNS,Kupang,4765811.843286794,1.0,1,43.65720666498628,151.0786468532541,Moonsilk,0.0,S1,2.0,0.5937037150898301
40.0,Laki-laki,Pegawai swasta,Sofifi,18627756.024743803,1.0,0,81.1404406866772,167.49209580907765,Shoulder & Head,0.0,S1,1.0,0.3593372996084242
41.0,Laki-laki,Pegawai swasta,Ambon,19396218.49628526,1.0,0,47.95907453836393,152.09835131412126,Deadbuoy,1.0,SMA,4.0,0.6148792239453903
